"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
152,874.0,8192,Jaakko OJANIEMI,28 AUG 1980,FIN,5,"Olympiastadion, München (GER)",08 AUG 2002,1156
160,878.0,8191,Bastien AUZEIL,22 OCT 1989,FRA,1,Angers (FRA),25 JUN 2016,1156
168,883.0,8189,Tom PAPPAS,06 SEP 1976,USA,3,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,1155
176,887.0,8188,Aleksey DROZDOV,03 DEC 1983,RUS,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1155
184,891.0,8187,Willem COERTZEN,30 DEC 1982,RSA,1,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2015,1155
192,896.0,8185,Romain BARRAS,01 AUG 1980,FRA,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1155
0,899.0,8184,Laurent HERNU,22 AUG 1976,FRA,1,Narbonne (FRA),25 JUL 2003,1155
8,905.0,8183,Pavel TARNAVETSKIY,22 FEB 1961,URS,4,Basel (SUI),05 JUL 1987,1155
16,908.0,8182,Maicel UIBO,27 DEC 1992,EST,1,"Eugene, OR (USA)",12 JUN 2014,1154
24,913.0,8181,Devon WILLIAMS,17 JAN 1994,USA,2,"Eugene, OR (USA)",08 JUN 2017,1154
32,916.0,8180,Klaus ISEKENMEIER,14 APR 1975,GER,10,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1154
40,920.0,8179,Arkadiy VASILYEV,19 JAN 1987,RUS,3,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,1154
48,925.0,8178,Laurent HERNU,22 AUG 1976,FRA,5,Talence (FRA),30 JUL 2000,1154
56,929.0,8177,Artem LUKYANENKO,30 JAN 1990,RUS,16,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1154
64,932.0,8175,Francisco Javier BENET,25 MAR 1968,ESP,4,Praha (CZE),04 JUL 1999,1153
72,937.0,8174,Mike MACZEY,28 SEP 1972,GER,8,"Népstadion, Budapest (HUN)",20 AUG 1998,1153
80,941.0,8173,Dave STEEN,14 NOV 1959,CAN,2,Edinburgh (GBR),28 JUL 1986,1153
88,945.0,8172,Kamil DAMAŠEK,22 SEP 1973,CZE,3,Tallinn (EST),29 JUN 1997,1153
96,945.0,8172,Fredrik SAMUELSSON,16 FEB 1995,SWE,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1153
104,953.0,8170,Thomas FAHNER,18 JUL 1966,GDR,3,Götzis (AUT),25 MAY 1986,1153
112,953.0,8170,Eelco SINTNICOLAAS,07 APR 1987,NED,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,1153
120,961.0,8169,Beiniamino POSERINA,06 NOV 1970,ITA,1,Formia (ITA),06 OCT 1996,1152
128,965.0,8168,Dominik DISTELBERGER,16 MAR 1990,AUT,7,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1152
136,969.0,8165,Francisco Javier BENET,25 MAR 1968,ESP,2,Tallinn (EST),16 JUN 1996,1152
144,972.0,8164,Thorsten DAUTH,11 MAR 1968,GER,7,Götzis (AUT),28 MAY 1995,1152
152,977.0,8163,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),26 MAY 1985,1151
160,981.0,8161,Christian SCHENK,09 FEB 1965,GDR,5,Basel (SUI),05 JUL 1987,1151
168,981.0,8161,Damian WARNER,04 NOV 1989,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,1151
176,981.0,8161,Joseph DELGADO,08 JAN 1995,USA,5,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1151
184,990.0,8160,Timothy DUCKWORTH,18 JUN 1996,GBR,5,"Olympiastadion, Berlin (GER)",08 AUG 2018,1151
192,997.0,8158,Mike MACZEY,28 SEP 1972,GER,6,"Olympiastadion, München (GER)",08 AUG 2002,1151
0,1000.0,8157,Maurice SMITH,28 SEP 1980,JAM,5,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1151
8,1000.0,8157,Sven ROOSEN,27 JUL 2001,NED,11,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1151
16,1006.0,8156,Eelco SINTNICOLAAS,07 APR 1987,NED,1,Toruń (POL),06 JUL 2014,1150
24,1011.0,8155,Mário Anibal RAMOS,25 MAR 1972,POR,12,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1150
32,1015.0,8154,Ashton EATON,21 JAN 1988,USA,1,"Berkeley, CA (USA)",09 MAY 2010,1150
40,1019.0,8153,Philipp HUBER,18 FEB 1974,SUI,10,Götzis (AUT),04 JUN 2000,1150
48,1024.0,8152,Eduard MIKHAN,07 JUN 1989,BLR,2,"Mestský Stadion, Ostrava (CZE)",15 JUL 2011,1150
56,1026.0,8151,Kai KAZMIREK,28 JAN 1991,GER,8,"Olympiastadion, München (GER)",16 AUG 2022,1150
64,1031.0,8149,Frank MÜLLER,18 JUN 1968,GER,4,Lage (GER),15 JUN 1996,1149
72,1037.0,8148,Viktor RADCHENKO,11 MAY 1968,UKR,7,Götzis (AUT),31 MAY 1992,1149
80,1040.0,8147,Bastien AUZEIL,22 OCT 1989,FRA,10,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1149
88,1043.0,8146,Mikhail MEDVED,30 JAN 1964,UKR,7,Götzis (AUT),30 MAY 1993,1149
96,1043.0,8146,Luca WIELAND,07 DEC 1994,GER,3,"Eugene, OR (USA)",08 JUN 2017,1149
104,1053.0,8143,Petri KESKITALO,10 MAR 1967,FIN,11,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1148
112,1055.0,8142,Andreas BECHMANN,28 SEP 1999,GER,1,"Kadrioru staadion, Tallinn (EST)",11 JUL 2021,1148
120,1058.0,8141,Ashley BRYANT,17 MAY 1991,GBR,8,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1148
128,1063.0,8140,Zsolt KÜRTÖSI,21 MAR 1971,HUN,9,"Népstadion, Budapest (HUN)",20 AUG 1998,1148
136,1068.0,8139,Arthur ABELE,30 JUL 1986,GER,3,"Stadionring, Ratingen (GER)",29 JUN 2014,1148
144,1070.0,8138,Romain MARTIN,12 JUL 1988,FRA,1,Oyonnax (FRA),15 JUN 2014,1148
152,1075.0,8136,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,6,"New York, NY (USA)",20 JUL 1998,1147
160,1081.0,8135,Klaus ISEKENMEIER,14 APR 1975,GER,10,Götzis (AUT),31 MAY 1998,1147
168,1084.0,8134,Romain BARRAS,01 AUG 1980,FRA,11,"DS, Daegu (KOR)",28 AUG 2011,1147
176,1086.0,8133,Kyle GARLAND,28 MAY 2000,USA,2,"Tom Black Track at LaPorte Stadium, Knoxville, TN (USA)",08 APR 2022,1147
184,1091.0,8132,Johannes ERM,26 MAR 1998,EST,1,"Ole Miss T&F Complex, Oxford, MS (USA)",13 MAY 2022,1147
192,1094.0,8131,Devon WILLIAMS,17 JAN 1994,USA,3,"Sacramento, CA (USA)",23 JUN 2017,1146
0,1101.0,8130,Dan STEELE,20 MAR 1969,USA,8,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1146
8,1101.0,8130,Ayden OWENS-DELERME,28 MAY 2000,PUR,1f4,"Azusa, CA (USA)",18 APR 2019,1146
16,1108.0,8128,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,Talence (FRA),22 SEP 2002,1146
24,1111.0,8127,Romain BARRAS,01 AUG 1980,FRA,1,Almería (ESP),30 JUN 2005,1146
32,1114.0,8126,Ruben GADO,13 DEC 1993,FRA,1,Albi (FRA),07 JUL 2018,1146
40,1120.0,8125,Eduard MIKHAN,07 JUN 1989,BLR,2,"Kadrioru staadion, Tallinn (EST)",30 JUN 2013,1146
48,1124.0,8124,Kristjan RAHNU,29 AUG 1979,EST,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,1145
56,1129.0,8123,Dezső SZABÓ,04 SEP 1967,HUN,4,Tallinn (EST),29 JUN 1997,1145
64,1133.0,8122,Christian PLAZIAT,28 OCT 1963,FRA,9,"National Stadium, Tokyo (JPN)",30 AUG 1991,1145
72,1133.0,8122,Bryan CLAY,03 JAN 1980,USA,2,Talence (FRA),26 SEP 2004,1145
80,1141.0,8121,Michael SMITH,16 SEP 1967,CAN,4,Götzis (AUT),18 JUN 1989,1145
88,1145.0,8120,Aleksey DROZDOV,03 DEC 1983,RUS,1,Tula (RUS),15 JUN 2005,1145
96,1145.0,8120,Larbi BOURRADA,10 MAY 1988,ALG,1,"Mestský Stadion Sletište, Kladno (CZE)",18 JUN 2017,1145
104,1151.0,8119,Aleksandr KOMAROV,04 MAR 2001,RUS,1,"Yunost Stadium, Adler, Sochi (RUS)",27 MAY 2023,1145
112,1154.0,8118,Michael MORRISON,18 MAR 1988,USA,1,"Des Moines, IA (USA)",10 JUN 2011,1144
120,1161.0,8117,Jaakko OJANIEMI,28 AUG 1980,FIN,5,Götzis (AUT),02 JUN 2002,1144
128,1165.0,8116,Chris HUFFINS,19 APR 1970,USA,2,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 1999,1144
136,1168.0,8115,Marcus NILSSON,03 MAY 1991,SWE,1,"Antonio Domínguez Stadium, Arona (ESP)",05 JUN 2022,1144
144,1170.0,8114,Wilfrid BOULINEAU,13 MAY 1970,FRA,4,Tallinn (EST),05 JUL 1998,1144
152,1170.0,8114,Pieter BRAUN,21 JAN 1993,NED,12,"National Stadium, Beijing (CHN)",29 AUG 2015,1144
160,1181.0,8113,Sébastien LEVICQ,25 JUN 1971,FRA,5,Lage (GER),15 JUN 1996,1144
168,1181.0,8113,Vasiliy KHARLAMOV,08 JAN 1986,RUS,4,Szczecin (POL),28 JUN 2009,1144
176,1187.0,8112,Eelco SINTNICOLAAS,07 APR 1987,NED,1,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",17 JUL 2009,1144
184,1187.0,8112,Artyom MAKARENKO,23 APR 1997,RUS,3,Smolensk (RUS),10 JUN 2017,1144
192,1197.0,8110,Nadir EL FASSI,23 SEP 1983,FRA,1,St-Etienne (FRA),27 JUN 2010,1143
0,1198.0,8109,Roman ŠEBRLE,26 NOV 1974,CZE,2,Albi (FRA),29 JUL 2011,1143
8,1204.0,8108,David MEWES,07 OCT 1976,GER,12,Götzis (AUT),04 JUN 2000,1143
16,1209.0,8107,Christian PLAZIAT,28 OCT 1963,FRA,8,Götzis (AUT),30 MAY 1993,1143
24,1209.0,8107,Phil MCMULLEN,03 FEB 1975,USA,1,Salo (ITA),08 MAY 2005,1143
32,1209.0,8107,Rik TAAM,17 JAN 1997,NED,1,"Atletiekbaan Breda, Breda (NED)",27 JUN 2021,1143
40,1221.0,8105,Sébastien LEVICQ,25 JUN 1971,FRA,5,Götzis (AUT),29 MAY 1994,1142
48,1221.0,8105,Ingmar VOS,28 MAY 1986,NED,9,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1142
56,1229.0,8104,Mike MACZEY,28 SEP 1972,GER,1,Lage (GER),05 SEP 1999,1142
64,1229.0,8104,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Yalta (UKR),02 JUL 2006,1142
72,1236.0,8103,Pau TONNESEN,24 OCT 1992,ESP,4,"Eugene, OR (USA)",09 JUN 2016,1142
80,1239.0,8102,Aleksandr POGORELOV,10 JAN 1980,RUS,3,Arles (FRA),02 JUL 2006,1142
88,1245.0,8101,Aleksandr PARKHOMENKO,21 MAR 1981,BLR,1,Tallinn (EST),08 JUL 2007,1142
96,1249.0,8099,Valeriy BELOUSOV,22 JAN 1970,RUS,3,Helmond (NED),02 JUL 1995,1142
104,1249.0,8099,Jacob MINAH,03 APR 1982,GER,1,Bangkok (THA),13 AUG 2007,1142
112,1255.0,8098,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),06 JUN 2013,1141
120,1258.0,8097,Markus BALLENGEE,08 JAN 1998,USA,7,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1141
128,1264.0,8095,Willem COERTZEN,30 DEC 1982,RSA,4,"Stadionring, Ratingen (GER)",17 JUL 2011,1141
136,1268.0,8094,Claston BERNARD,22 MAR 1979,JAM,1,"Baton Rouge, LA (USA)",01 JUN 2002,1141
144,1272.0,8093,Erki NOOL,25 JUN 1970,EST,1,Tallinn (EST),03 JUL 1994,1141
152,1277.0,8092,Mikhail MEDVED,30 JAN 1964,URS,4,Helmond (NED),07 JUL 1991,1140
160,1281.0,8091,Ashton EATON,21 JAN 1988,USA,1,"Eugene, OR (USA)",10 MAY 2009,1140
168,1281.0,8091,Makenson GLETTY,02 APR 1999,FRA,1,"Stade des Grands Pêchers, Montreuil (FRA)",17 JUL 2022,1140
176,1286.0,8090,Aleksey SYSOYEV,08 MAR 1985,RUS,1,Sochi (RUS),18 MAY 2005,1140
184,1290.0,8089,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",18 AUG 2022,1140
192,1294.0,8088,Keisuke USHIRO,24 JUL 1986,JPN,1,Incheon (KOR),01 OCT 2014,1140
0,1301.0,8086,Isaac MURPHY,10 MAY 1990,USA,4,"Eugene, OR (USA)",06 JUN 2013,1140
8,1304.0,8085,Trond HÖIBY,24 JAN 1973,NOR,1,Herentals (BEL),04 JUL 1999,1139
16,1308.0,8084,Aleksandr AVERBUKH,01 OCT 1974,RUS,1,Krasnodar (RUS),21 MAY 1997,1139
24,1308.0,8084,Curtis BEACH,22 JUL 1990,USA,2,"Des Moines, IA (USA)",10 JUN 2011,1139
32,1316.0,8083,Kristjan RAHNU,29 AUG 1979,EST,9,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1139
40,1321.0,8082,Eugène MARTINEAU,14 MAY 1980,NED,10,Götzis (AUT),30 MAY 2004,1139
48,1322.0,8081,Stefan SCHMID,06 MAY 1970,GER,4,Talence (FRA),16 SEP 2001,1139
56,1329.0,8080,Dezső SZABÓ,04 SEP 1967,HUN,5,Götzis (AUT),18 JUN 1989,1139
64,1329.0,8080,Mathias BRUGGER,06 AUG 1992,GER,2,"Stadionring, Ratingen (GER)",20 JUN 2021,1139
72,1336.0,8078,Alexander KRUGER,18 NOV 1963,GBR,7,Götzis (AUT),29 MAY 1994,1138
80,1340.0,8077,Mikk PAHAPILL,18 JUL 1983,EST,1,"Stade Pierre Paul Bernard, Talence (FRA)",21 SEP 2014,1138
88,1344.0,8076,Gernot KELLERMAYR,05 APR 1966,AUT,11,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1138
96,1348.0,8075,Michael KOHNLE,03 MAY 1970,GER,9,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1138
104,1348.0,8075,Adam Sebastian HELCELET,27 OCT 1991,CZE,4,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,1138
112,1356.0,8074,André NIKLAUS,30 AUG 1981,GER,7,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1138
120,1360.0,8073,Pelle RIETVELD,04 FEB 1985,NED,3,Kladno (CZE),10 JUN 2012,1138
128,1360.0,8073,Jorge UREÑA,08 OCT 1993,ESP,1,"Polideportivo Juan de la Cierva, Getafe (ESP)",26 JUN 2021,1138
136,1366.0,8072,Oleksiy KASYANOV,26 AUG 1985,UKR,4,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1137
144,1370.0,8071,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,4,Arles (FRA),01 JUL 2001,1137
152,1376.0,8070,Hans VAN ALPHEN,12 JAN 1982,BEL,4,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,1137
160,1376.0,8070,Kurt FELIX,04 JUL 1988,GRN,3,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1137
168,1384.0,8069,Prodromos KORKIZOGLOU,27 FEB 1975,GRE,1,Ibach (SUI),02 JUL 2000,1137
176,1384.0,8069,Pascal BEHRENBRUCH,19 JAN 1985,GER,8,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1137
184,1392.0,8068,Aleksey SYSOYEV,08 MAR 1985,RUS,10,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1137
192,1397.0,8067,Sebastian CHMARA,21 NOV 1971,POL,1f,Bressanone (ITA),05 JUL 1998,1137
0,1397.0,8067,Roman ŠEBRLE,26 NOV 1974,CZE,4,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,1137
8,1397.0,8067,Jan DOLEŽAL,06 JUN 1996,CZE,8,"Olympiastadion, Berlin (GER)",08 AUG 2018,1137
16,1408.0,8066,Valeriy BELOUSOV,22 JAN 1970,RUS,2,Krasnodar (RUS),21 MAY 1997,1136
24,1413.0,8065,Tomáš DVOŘÁK,11 MAY 1972,CZE,7,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,1136
32,1417.0,8064,Sheldon BLOCKBURGER,19 SEP 1964,USA,8,Götzis (AUT),29 MAY 1994,1136
40,1417.0,8064,Pascal BEHRENBRUCH,19 JAN 1985,GER,10,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1136
48,1417.0,8064,Ryan TALBOT,,USA,1,"University of Minnesota T&F Stadium, Minneapolis, MN (USA)",14 MAY 2022,1136
56,1427.0,8062,Kurt FELIX,04 JUL 1988,GRN,1,"Des Moines, IA (USA)",07 JUN 2012,1136
64,1433.0,8061,Jack ROSENDAAL,12 SEP 1973,NED,2,Oulu (FIN),29 JUN 1997,1136
72,1437.0,8060,Chiel WARNERS,02 APR 1978,NED,2,Tallinn (EST),06 JUL 2003,1135
80,1437.0,8060,Mathias BRUGGER,06 AUG 1992,GER,11,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1135
88,1443.0,8059,Vasiliy KHARLAMOV,08 JAN 1986,RUS,2,Cheboksary (RUS),03 JUN 2012,1135
96,1447.0,8058,Roman ŠEBRLE,26 NOV 1974,CZE,2,Kladno (CZE),24 JUN 2009,1135
104,1447.0,8058,Vitaliy ZHUK,10 SEP 1996,BLR,13,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1135
112,1455.0,8057,Yunior DIAZ,28 APR 1987,CUB,1,La Habana (CUB),08 MAR 2008,1135
120,1455.0,8057,Baptiste THIERY,29 JUN 2001,FRA,9,"Olympiastadion, München (GER)",16 AUG 2022,1135
128,1462.0,8056,Paolo CASARSA,02 JUL 1975,ITA,1,Südstadt (AUT),06 JUN 2004,1135
136,1469.0,8055,Eugène MARTINEAU,14 MAY 1980,NED,13,"National Stadium, Beijing (CHN)",22 AUG 2008,1135
144,1469.0,8055,Martin ROE,01 APR 1992,NOR,1,"Sportplatz Lana, Lana (ITA)",25 APR 2021,1135
152,1477.0,8053,Yunior DIAZ,28 APR 1987,CUB,2,La Habana (CUB),06 MAY 2011,1134
160,1478.0,8052,Roman ŠEBRLE,26 NOV 1974,CZE,6,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1134
168,1482.0,8051,Laurent HERNU,22 AUG 1976,FRA,7,"Olympiastadion, München (GER)",08 AUG 2002,1134
176,1489.0,8050,Lev LOBODIN,01 APR 1969,UKR,9,Götzis (AUT),29 MAY 1994,1134
184,1489.0,8050,Claston BERNARD,22 MAR 1979,JAM,1,"College Station, TX (USA)",15 MAR 2002,1134
192,1489.0,8050,Adam Sebastian HELCELET,27 OCT 1991,CZE,11,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1134
0,1499.0,8049,Ashley BRYANT,17 MAY 1991,GBR,11,"Olympic Stadium, London (GBR)",12 AUG 2017,1134
8,1502.0,8048,Yordani GARCÍA,21 NOV 1988,CUB,3,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 2010,1134
16,1508.0,8047,Hans VAN ALPHEN,12 JAN 1982,BEL,2,Bangkok (THA),13 AUG 2007,1133
24,1511.0,8046,Hunter VEITH,14 JAN 1995,USA,1,"Austin, TX (USA)",29 MAR 2018,1133
32,1515.0,8045,Ramil GANIYEV,23 SEP 1968,UZB,12,Götzis (AUT),31 MAY 1998,1133
40,1515.0,8045,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,5,"Stadionring, Ratingen (GER)",17 JUL 2011,1133
48,1524.0,8044,Mateo SOSSAH,28 APR 1988,USA,2,"Fayetteville, AR (USA)",11 JUN 2009,1133
56,1528.0,8043,Akihiko NAKAMURA,23 OCT 1990,JPN,1,Wakayama (JPN),26 APR 2015,1133
64,1531.0,8042,André NIKLAUS,30 AUG 1981,GER,1,"Olympisch Stadion, Amsterdam (NED)",13 JUL 2001,1133
72,1536.0,8041,Paul TEREK,20 OCT 1979,USA,2,"Baton Rouge, LA (USA)",01 JUN 2002,1133
80,1536.0,8041,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",15 MAY 2022,1133
88,1542.0,8040,Ashley BRYANT,17 MAY 1991,GBR,5,"Olympisch Stadion, Amsterdam (NED)",07 JUL 2016,1132
96,1547.0,8039,Thomas TEBBICH,04 FEB 1975,AUT,7,Götzis (AUT),30 MAY 1999,1132
104,1550.0,8038,Ruben GADO,13 DEC 1993,FRA,3,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,1132
112,1555.0,8037,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),03 JUN 2012,1132
120,1555.0,8037,Martin ROE,01 APR 1992,NOR,1,"Antonio Domínguez Stadium, Arona (ESP)",09 JUN 2019,1132
128,1564.0,8036,Zsolt KÜRTÖSI,21 MAR 1971,HUN,1,Budapest (HUN),06 AUG 2000,1132
136,1564.0,8036,Larbi BOURRADA,10 MAY 1988,ALG,1,Algiers (ALG),22 MAY 2009,1132
144,1572.0,8035,Jack ROSENDAAL,12 SEP 1973,NED,21,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1132
152,1572.0,8035,Hunter PRICE,28 AUG 1994,USA,1f2,"Cougar Athletic Stadium, Azusa, CA (USA)",14 MAY 2021,1132
160,1578.0,8034,Eelco SINTNICOLAAS,07 APR 1987,NED,11,"Olympic Stadium, London (GBR)",09 AUG 2012,1131
168,1583.0,8033,Jannis WOLFF,16 MAY 1998,GER,7,"Stadionring, Ratingen (GER)",18 JUN 2023,1131
176,1586.0,8032,Norman MÜLLER,07 AUG 1985,GER,6,"Stadionring, Ratingen (GER)",22 JUN 2008,1131
184,1586.0,8032,Harrison WILLIAMS,07 MAR 1996,USA,5,"Eugene, OR (USA)",09 JUN 2016,1131
192,1596.0,8031,Mathias BRUGGER,06 AUG 1992,GER,1,Halle (GER),07 MAY 2017,1131
0,1600.0,8030,Oleksandr YURKOV,21 JUL 1975,UKR,13,"Népstadion, Budapest (HUN)",20 AUG 1998,1131
8,1600.0,8030,Taavi TŠERNJAVSKI,04 MAR 1995,EST,2,"Stade P-J. Bénard, St-Paul (FRA)",19 DEC 2020,1131
16,1607.0,8029,Andres RAJA,02 JUN 1982,EST,10,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1131
24,1612.0,8028,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,9,Götzis (AUT),27 MAY 2001,1131
32,1615.0,8027,Dakotah KEYS,27 SEP 1991,USA,1,"Eugene, OR (USA)",18 APR 2014,1130
40,1621.0,8026,Zsolt KÜRTÖSI,21 MAR 1971,HUN,6,Arles (FRA),01 JUL 2001,1130
48,1625.0,8025,Vitaliy KOLPAKOV,02 FEB 1972,UKR,22,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1130
56,1625.0,8025,Jangy ADDY,02 MAR 1985,USA,6,"Eugene, OR (USA)",30 JUN 2008,1130
64,1632.0,8024,Claston BERNARD,22 MAR 1979,JAM,1,"Columbia, SC (USA)",11 MAY 2001,1130
72,1637.0,8023,Frank MÜLLER,18 JUN 1968,GER,10,Götzis (AUT),29 MAY 1994,1130
80,1637.0,8023,Hamdi DHOUIBI,24 JAN 1982,TUN,11,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1130
88,1637.0,8023,Martin ROE,01 APR 1992,NOR,14,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1130
96,1647.0,8022,Bastien AUZEIL,22 OCT 1989,FRA,2,Paris (FRA),13 JUL 2013,1130
104,1653.0,8021,Simon POELMAN,27 MAY 1963,NZL,16,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1129
112,1653.0,8021,Nikolay AVERYANOV,04 FEB 1980,RUS,15,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1129
120,1659.0,8020,Nikolay SHUBENOK,04 MAY 1985,BLR,2,Tallinn (EST),08 JUL 2007,1129
128,1659.0,8020,Dario DESTER,22 JUL 2000,ITA,1,"Stadio Guidobaldi, Rieti (ITA)",26 JUN 2022,1129
136,1667.0,8019,Volodimir MIKHAYLENKO,27 AUG 1973,UKR,2,Beijing (CHN),31 AUG 2001,1129
144,1667.0,8019,Solomon SIMMONS,26 SEP 1993,USA,2,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1129
152,1674.0,8018,Eelco SINTNICOLAAS,07 APR 1987,NED,3,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,1129
160,1678.0,8017,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,12,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1129
168,1684.0,8016,Petri KESKITALO,10 MAR 1967,FIN,4,Arles (FRA),05 JUL 1987,1129
176,1684.0,8016,Martin ROE,01 APR 1992,NOR,4,"Antonio Domínguez Stadium, Arona (ESP)",13 JUN 2021,1129
184,1690.0,8015,Artem LUKYANENKO,30 JAN 1990,RUS,1,Kazan (RUS),16 AUG 2018,1129
192,1696.0,8014,Larbi BOURRADA,10 MAY 1988,ALG,3,Reims (FRA),12 JUL 2014,1128
0,1698.0,8013,Vitaliy SMIRNOV,25 OCT 1978,UZB,1f,Tashkent (UZB),17 JUL 2008,1128
8,1705.0,8012,Petri KESKITALO,10 MAR 1967,FIN,4,Götzis (AUT),17 JUN 1990,1128
16,1709.0,8011,Beat GÄHWILER,26 JAN 1965,SUI,11,"National Stadium, Tokyo (JPN)",30 AUG 1991,1128
24,1709.0,8011,Jack TURNER,11 JUL 2001,GBR,1,"Soccer Stadium - North Texas University, Denton, TX (USA)",12 MAY 2023,1128
32,1714.0,8010,Romain BARRAS,01 AUG 1980,FRA,7,Kladno (CZE),16 JUN 2011,1128
40,1721.0,8009,Michael NOLAN,22 SEP 1973,CAN,10,Götzis (AUT),01 JUN 1997,1128
48,1721.0,8009,Oleksiy KASYANOV,26 AUG 1985,UKR,,Tashkent (UZB),29 MAY 2021,1128
56,1727.0,8008,Romain BARRAS,01 AUG 1980,FRA,1,Bressanone (ITA),06 JUL 2003,1127
64,1733.0,8007,Douglas PIRINI,06 SEP 1969,NZL,4,Kuala Lumpur (MAS),18 SEP 1998,1127
72,1733.0,8007,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,13,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1127
80,1740.0,8006,Michael KOHNLE,03 MAY 1970,GER,9,Götzis (AUT),30 MAY 1993,1127
88,1740.0,8006,Pau TONNESEN,24 OCT 1992,ESP,14,"Olympic Stadium, London (GBR)",12 AUG 2017,1127
96,1746.0,8005,Florian OBST,24 FEB 1993,GER,1,"Charlotte, NC (USA)",25 MAY 2018,1127
104,1752.0,8004,Mike MACZEY,28 SEP 1972,GER,2,"Stadionring, Ratingen (GER)",23 JUL 2000,1127
112,1752.0,8004,Moritz CLEVE,18 FEB 1987,GER,1,"Lubbock, TX (USA)",16 MAY 2009,1127
